trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.01}",20,0,-81.97574751350788,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.9, 'e': 0.0001}",35,19,-39.36830970135478,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.9, 'e': 1.0000000000000002e-06}",20,0,-29.822611906958116,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.9, 'e': 1e-08}",20,0,27.33467648480134,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.9, 'e': 1.0000000000000002e-10}",30,12,18.71750735251734,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.9, 'e': 1.0000000000000002e-12}",20,10,19.26639131085282,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.9, 'e': 1.0000000000000002e-14}",20,13,13.484098205272701,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.9, 'e': 1.0000000000000002e-16}",20,16,5.4709013691126565,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.9, 'e': 1.0000000000000003e-18}",35,17,19.192952088319306,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': 1.0000000000000002e-20}",20,8,17.602159790324446,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 1.0000000000000003e-22}",25,15,0.5140548052168223,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
12,False,"{'a': 0.9, 'e': 1.0000000000000003e-24}",25,0,33.00725376083331,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 1.0000000000000003e-26}",20,9,21.285044818168373,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 1.0000000000000003e-28}",30,12,33.32360099818603,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.9, 'e': 1.0000000000000003e-30}",20,0,-10.555628915993019,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.9, 'e': 1.0000000000000003e-32}",20,10,11.455285190916486,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 1.0000000000000004e-34}",25,8,1.6909747738033551,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.9, 'e': 1.0000000000000004e-36}",20,10,22.057258488977617,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 1.0000000000000004e-38}",20,11,16.070618766591142,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': 1.0000000000000003e-40}",30,21,16.60526218141972,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,2,20.991741933356156,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,6,24.067671930172363,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,6,-24.310618444590812,"{0: 21, 1: 0, 2: 0, 3: 3, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,15,19.11688063935045,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,20,18.08031171869799,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,13,2.3008551548870484,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,27.754779245605917,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,9,19.666188982247075,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,17,14.950748099313975,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,9.715797679869619,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,0,30.649430859620587,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",25,10,-0.036018434932111765,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,14,14.099523302764274,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",35,16,34.201299320675346,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,9,21.336678927638314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",30,8,38.73354054579802,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,17,12.457125176227867,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",25,7,13.38408410667238,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,2,24.953752689051324,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,17,17.083626557368085,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
